Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-124.1875,47.0625,1184.20495605,1958.16699219,787.148010254,11743.9990234
-124.1875,47.1875,1392.63195801,2186.49853516,805.914001465,11982.0996094
-124.1875,47.3125,1617.08215332,2407.41650391,806.171936035,12235.0
-124.1875,47.4375,1812.44104004,2657.20043945,838.851989746,12424.5996094
-124.1875,47.5625,2033.50500488,2877.80395508,831.132995605,12645.2988281
-124.1875,47.6875,2183.10888672,3037.78491211,834.112060547,13315.0009766
-124.1875,47.8125,2270.92797852,3084.23779297,783.968017578,12800.2011719
-124.1875,47.9375,2391.56396484,3177.93115234,756.615966797,12053.0996094
-124.1875,48.0625,2071.89892578,2913.61010742,793.776000977,11718.8007812
-124.1875,48.1875,1509.69311523,2355.22460938,791.054016113,12006.7988281
-124.1875,48.3125,2065.90795898,2402.67773438,315.445953369,13315.4990234
-124.0625,39.9375,855.819030762,1506.3614502,653.534057617,4636.5
-124.0625,40.0625,1383.88098145,2054.88208008,668.74597168,4918.30029297
-124.0625,40.1875,1381.21411133,2066.36279297,693.005004883,4858.20019531
-124.0625,40.3125,1365.96105957,2018.16540527,663.355102539,4879.60009766
-124.0625,40.4375,785.806945801,1435.55664062,675.9609375,4664.79980469
-124.0625,40.5625,653.836914062,1281.66125488,670.277038574,4574.29980469
-124.0625,40.6875,697.516906738,1349.29333496,691.470947266,4628.60009766
-124.0625,40.8125,752.945983887,1342.1706543,635.819946289,4706.5
-124.0625,40.9375,715.661010742,1297.21789551,614.634033203,5517.10009766
-124.0625,41.0625,819.489074707,1520.34069824,734.002990723,4609.49951172
-124.0625,41.1875,1163.19995117,1793.94689941,648.285949707,5550.89990234
-124.0625,41.3125,1171.66589355,1870.75097656,722.166931152,4924.89990234
-124.0625,41.4375,1262.14904785,1962.21777344,722.526062012,4979.60009766
-124.0625,41.5625,1314.27319336,1981.86499023,689.863037109,4999.69970703
-124.0625,41.6875,1973.65979004,2678.97949219,717.195068359,5244.10058594
-124.0625,41.8125,1609.88806152,2322.77636719,724.380065918,5092.99951172
