Index,Group,Column1,Row1,Column2,Row2,Column3,Row3
134,"Livestock (Stock) self-supplied surface-water withdrawals, saline, in Mgal/d",,,,,,
135,"Livestock (Stock) total consumptive use, in Mgal/d",,,,,,
136,"Livestock (Stock) total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
137,"Livestock (Stock) total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
138,"Livestock (Stock) total self-supplied withdrawals, in Mgal/d",,,,,,
139,"Livestock (Stock) total self-supplied withdrawals, saline, in Mgal/d",,,,,,
140,"Livestock (Stock) total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
141,"Livestock consumptive use, fresh, in Mgal/d",,,,,,
142,"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d",,,,,,
143,"Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d",,,,,,
144,"Livestock total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
145,"Mining consumptive use, fresh, in Mgal/d",,,,,,
146,"Mining consumptive use, saline, in Mgal/d",,,,,,
147,"Mining reclaimed wastewater, in Mgal/d",G,34,,,,
148,"Mining self-supplied groundwater withdrawals, fresh, in Mgal/d",G,31,,,,
149,"Mining self-supplied groundwater withdrawals, saline, in Mgal/d",G,28,,,,
150,"Mining self-supplied surface-water withdrawals, fresh, in Mgal/d",G,30,,,,
151,"Mining self-supplied surface-water withdrawals, saline, in Mgal/d",G,27,,,,
152,"Mining total consumptive use, in Mgal/d",,,,,,
153,"Mining total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
154,"Mining total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
155,"Mining total self-supplied withdrawals, in Mgal/d",,,,,,
156,"Mining total self-supplied withdrawals, saline, in Mgal/d",,,,,,
157,"Mining total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
158,"Nuclear Thermoelectric Power consumptive use, fresh, in Mgal/d",,,,,,
159,"Nuclear Thermoelectric Power consumptive use, saline, in Mgal/d",,,,,,
160,"Nuclear Thermoelectric Power deliveries from public supply, in Mgal/d",M,33,,,,
161,"Nuclear Thermoelectric Power reclaimed wastewater, in Mgal/d",M,34,,,,
162,"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",M,17,M,31,U,37
163,"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",M,28,,,,
164,"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",M,17,M,30,U,37
165,"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",M,27,,,,
166,"Nuclear Thermoelectric Power total consumptive use, in Mgal/d",,,,,,
167,"Nuclear Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
168,"Nuclear Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
169,"Nuclear Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
170,"Nuclear Thermoelectric Power total self-supplied withdrawals, in Mgal/d",,,,,,
171,"Nuclear Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",,,,,,
172,"Nuclear Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
173,"Public Supply deliveries to commercial, in Mgal/d",N,13,,,,
174,"Public Supply deliveries to domestic, in Mgal/d",N,13,,,,
175,"Public Supply deliveries to industrial, in Mgal/d",N,13,,,,
176,"Public Supply deliveries to thermoelectric, in Mgal/d",N,13,,,,
177,"Public Supply public use and losses, in Mgal/d",N,17,,,,
178,"Public Supply reclaimed wastewater, in Mgal/d",N,14,,,,
179,"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",N,31,,,,
180,"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",N,28,,,,
181,"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",N,30,,,,
182,"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",N,27,,,,
183,"Public Supply total deliveries, in Mgal/d",,,,,,
184,"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
185,"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
186,"Public Supply total self-supplied withdrawals, saline, in Mgal/d",,,,,,
187,"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
188,"Public Supply total self-supplied withdrawals, total, in Mgal/d",,,,,,
189,"Thermoelectric Power (Closed-loop cooling) consumptive use, fresh, in Mgal/d",,,,,,
190,"Thermoelectric Power (Closed-loop cooling) consumptive use, saline, in Mgal/d",,,,,,
191,"Thermoelectric Power (Closed-loop cooling) deliveries from public supply, in Mgal/d",I,33,,,,
192,"Thermoelectric Power (Closed-loop cooling) reclaimed wastewater, in Mgal/d",I,34,,,,
193,"Thermoelectric Power (Closed-loop cooling) self-supplied groundwater withdrawals, fresh, in Mgal/d",I,17,I,31,U,37
194,"Thermoelectric Power (Closed-loop cooling) self-supplied groundwater withdrawals, saline, in Mgal/d",I,28,,,,
195,"Thermoelectric Power (Closed-loop cooling) self-supplied surface-water withdrawals, fresh, in Mgal/d",I,17,I,30,U,37
196,"Thermoelectric Power (Closed-loop cooling) self-supplied surface-water withdrawals, saline, in Mgal/",I,27,,,,
197,"Thermoelectric Power (Closed-loop cooling) total consumptive use, in Mgal/d",,,,,,
198,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals plus deliveries, in Mgal/",,,,,,
199,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
200,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
201,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, saline, in Mgal/d",,,,,,
202,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
203,"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, total, in Mgal/d",,,,,,
204,"Thermoelectric Power (Once-through cooling) consumptive use, fresh, in Mgal/d",,,,,,
205,"Thermoelectric Power (Once-through cooling) consumptive use, saline, in Mgal/d",,,,,,
206,"Thermoelectric Power (Once-through cooling) deliveries from public supply, in Mgal/d",J,33,,,,
207,"Thermoelectric Power (Once-through cooling) reclaimed wastewater, in Mgal/d",J,34,,,,
208,"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, fresh, in Mgal/d",J,17,J,31,U,37
209,"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, saline, in Mgal/d",J,28,,,,
210,"Thermoelectric Power (Once-through cooling) self-supplied surface-water withdrawals, fresh, in Mgal/",J,17,J,30,U,37
211,"Thermoelectric Power (Once-through cooling) self-supplied surface-water withdrawals, saline, in Mgal",J,27,,,,
212,"Thermoelectric Power (Once-through cooling) total consumptive use, in Mgal/d",,,,,,
213,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals plus deliveries, in Mgal",,,,,,
214,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
215,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
216,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, saline, in Mgal/d",,,,,,
217,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, surface water, in Mgal/",,,,,,
218,"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, total, in Mgal/d",,,,,,
